LA_name,LA_code,March_2020,April_2020,May_2020,June_2020,July_2020,August_2020,September_2020,October_2020,November_2020,December_2020,January_2021,February_2021,March_2021,April _2021,Total
East Riding of Yorkshire,E07000193,4,133,94,43,7,2,0,22,76,129,126,81,24,7,748
East Staffordshire,E07000244,6,99,28,9,4,0,7,8,32,46,66,62,17,6,390
Eastbourne,E07000061,3,31,22,4,1,3,3,0,3,14,143,75,9,5,316
Eastleigh,E07000086,1,49,29,6,0,0,0,0,8,1,37,40,6,0,177
Eden,E07000030,2,17,13,3,2,1,0,2,9,11,50,18,3,1,132
Elmbridge,E07000207,4,69,17,11,4,0,0,0,14,7,87,48,4,1,266
Enfield,E09000010,16,308,40,9,5,1,2,5,18,41,208,71,17,2,743
Epping Forest,E07000072,2,142,24,5,1,0,1,4,11,32,112,40,8,1,383
Epsom and Ewell,E07000208,2,58,12,5,0,0,1,4,4,20,60,43,7,3,219
Erewash,E07000036,2,47,24,17,6,0,0,9,44,24,47,53,10,6,289
Exeter,E07000041,5,31,2,1,0,0,0,0,10,15,33,11,5,1,114
Fareham,E07000087,12,57,18,4,0,0,3,1,7,19,80,48,13,2,264
Fenland,E07000010,1,29,33,9,0,0,1,0,8,26,51,36,13,0,207
Forest Heath,E07000201,1,7,8,1,2,1,0,0,0,8,19,16,1,0,64
Forest of Dean,E07000080,0,35,9,1,0,0,0,1,4,17,37,6,2,0,112
Fylde,E07000119,0,43,29,16,4,1,1,17,23,42,30,37,8,3,254
Gateshead,E08000037,1,150,65,10,1,0,7,37,51,19,50,43,11,1,446
Gedling,E07000173,4,63,36,4,2,2,0,10,31,36,49,28,20,5,290
Gloucester,E07000081,0,90,46,1,0,0,0,3,12,18,45,26,2,1,244
Gosport,E07000088,5,37,9,1,0,1,1,0,4,13,46,31,5,3,156
Gravesham,E07000109,0,57,14,7,8,2,2,6,15,39,85,41,17,2,295
Great Yarmouth,E07000145,1,24,6,9,0,0,0,5,12,10,54,79,6,1,207
Greenwich,E09000011,17,159,25,9,1,1,1,3,11,25,133,68,24,3,480
Guildford,E07000209,1,52,23,8,2,1,1,0,7,7,59,47,12,0,220
Hackney,E09000012,16,166,29,1,4,2,0,5,13,26,127,66,14,8,477
Halton,E06000006,5,70,20,21,1,1,1,24,18,8,51,42,10,2,274
Hambleton,E07000164,1,45,13,10,0,0,1,3,16,9,41,13,5,2,159
Hammersmith and Fulham,E09000013,10,125,18,2,2,1,0,4,7,8,62,37,4,1,281
Harborough,E07000131,2,28,18,3,5,0,1,4,14,19,25,26,4,2,151
Haringey,E09000014,17,199,32,8,2,1,3,4,9,25,104,59,7,4,474
Harlow,E07000073,2,55,8,1,2,0,1,2,5,15,61,29,5,2,188
Harrogate,E07000165,3,82,55,37,10,2,1,3,9,6,20,36,18,2,284
Harrow,E09000015,44,266,54,10,2,0,1,8,7,36,110,73,28,6,645
Hart,E07000089,2,31,4,4,0,0,2,0,1,0,75,27,4,0,150
Hartlepool,E06000001,2,56,36,13,1,0,0,8,21,31,65,11,5,1,250
Hastings,E07000062,1,6,2,1,0,0,1,0,2,42,136,41,7,1,240
Havant,E07000090,3,58,29,4,1,1,1,2,13,41,94,34,11,4,296
Havering,E09000016,15,198,44,3,2,0,4,21,67,133,259,74,22,2,844
Herefordshire,E06000019,1,44,60,12,2,0,1,6,6,21,87,46,4,3,293
Hertsmere,E07000098,7,135,26,4,2,0,3,7,13,13,60,41,7,0,318
High Peak,E07000037,1,65,17,14,4,3,3,18,28,14,33,29,7,2,238
Hillingdon,E09000017,25,237,32,5,6,1,0,2,20,60,170,119,22,7,706
Hinckley and Bosworth,E07000132,1,45,28,19,3,1,2,3,15,15,41,24,9,1,207
Horsham,E07000227,4,52,41,10,3,1,1,4,5,14,39,40,8,3,225
Hounslow,E09000018,23,151,28,4,3,2,3,5,26,38,175,86,19,6,569
Huntingdonshire,E07000011,2,42,42,26,4,4,1,4,4,9,52,37,17,6,250
Hyndburn,E07000120,2,26,20,4,4,1,4,13,25,25,50,28,9,0,211
Ipswich,E07000202,0,77,37,5,4,0,0,0,4,36,89,44,21,2,319
Isle of Wight,E06000046,3,30,37,7,0,1,3,1,7,10,80,63,12,1,255
Isles of Scilly,E06000053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Islington,E09000019,7,110,20,2,1,1,0,0,8,9,96,60,7,4,325
Kensington and Chelsea,E09000020,13,87,16,3,2,0,0,2,10,8,68,34,7,1,251
Kettering,E07000153,2,32,33,22,8,0,0,0,4,18,39,27,11,2,198
King's Lynn and West Norfolk,E07000146,2,78,45,9,0,0,0,3,7,39,92,99,14,1,389
Kingston upon Hull,E06000010,2,60,82,42,9,1,1,24,87,80,117,70,26,10,611
Kingston upon Thames,E09000021,8,84,30,1,1,1,1,1,14,30,86,34,6,8,305
Kirklees,E08000034,4,186,80,22,11,9,10,57,139,123,102,92,25,9,869
Knowsley,E08000011,2,83,41,4,1,0,4,49,34,15,57,83,19,3,395
Lambeth,E09000022,27,193,31,15,3,2,0,5,3,9,121,88,16,8,521
Lancaster,E07000121,3,41,17,2,1,1,0,15,32,33,67,63,8,2,285
Leeds,E08000035,10,390,204,50,13,4,11,74,231,148,141,159,80,20,1535
Leicester,E06000016,5,140,85,41,28,5,13,14,63,72,138,143,51,12,810
Lewes,E07000063,1,56,34,6,2,1,0,3,5,13,87,45,13,0,266
Lewisham,E09000023,19,210,31,11,2,1,1,3,6,26,128,92,14,5,549
Lichfield,E07000194,1,76,20,9,3,2,3,4,24,36,48,39,14,2,281
Lincoln,E07000138,0,12,8,3,0,0,2,7,8,53,44,16,10,1,164
Liverpool,E08000012,15,413,88,18,3,6,16,150,147,58,157,163,36,10,1280
Luton,E06000032,10,133,38,19,3,1,0,6,26,51,129,69,19,5,509
Maidstone,E07000110,0,62,34,10,2,2,0,1,8,64,153,58,4,0,398
Maldon,E07000074,0,23,7,2,0,1,0,0,4,6,62,29,4,1,139
Malvern Hills,E07000235,1,33,8,3,1,0,0,0,6,7,42,24,5,0,130
Manchester,E08000003,5,238,102,23,15,5,9,54,105,78,120,119,35,5,913
Mansfield,E07000174,2,43,12,13,1,2,0,3,33,24,85,54,19,4,295
Medway,E06000035,5,109,47,14,5,3,4,1,41,141,241,91,22,5,729
Melton,E07000133,2,16,6,0,0,1,3,1,13,21,10,12,6,0,91
Mendip,E07000187,0,14,9,4,0,0,2,2,5,43,43,41,6,0,169
Merton,E09000024,12,142,30,9,2,1,0,3,9,41,120,43,16,2,430
Mid Devon,E07000042,0,12,4,1,1,0,1,2,2,18,18,6,3,1,69
Mid Suffolk,E07000203,1,32,29,12,2,0,0,0,3,22,45,26,3,2,177
Mid Sussex,E07000228,4,96,50,2,2,0,2,0,13,19,68,46,15,2,319
Middlesbrough,E06000002,2,130,50,12,1,1,1,12,21,11,57,44,20,3,365
Milton Keynes,E06000042,10,139,28,7,3,1,0,0,20,53,154,69,17,0,501
Mole Valley,E07000210,6,61,27,8,0,0,0,0,4,12,56,49,14,2,239
New Forest,E07000091,2,72,40,6,2,0,1,3,13,10,77,59,14,4,303
Newark and Sherwood,E07000175,1,49,21,5,0,1,0,5,25,28,37,37,12,2,223
Newcastle upon Tyne,E08000021,6,129,68,21,3,4,8,24,63,53,64,37,10,3,493
Newcastle-under-Lyme,E07000195,2,72,37,16,4,1,1,7,36,60,58,40,14,2,350
Newham,E09000025,28,229,30,7,4,1,3,13,17,89,217,80,23,4,745
North Devon,E07000043,0,21,3,0,0,0,0,0,4,13,8,6,0,0,55
North Dorset,E07000050,0,15,5,1,0,0,0,0,1,5,32,21,3,0,83
North East Derbyshire,E07000038,1,73,48,11,2,0,1,8,18,25,38,34,12,1,272
North East Lincolnshire,E06000012,2,26,6,0,0,0,0,11,89,63,24,14,13,4,252
North Hertfordshire,E07000099,2,52,34,6,2,0,0,2,4,11,105,62,16,2,298
North Kesteven,E07000139,0,29,6,2,1,0,0,5,18,43,56,26,8,1,195
North Lincolnshire,E06000013,0,44,40,7,1,0,1,4,46,60,49,18,3,5,278
North Norfolk,E07000147,1,23,22,2,1,1,0,0,7,21,67,34,6,0,185
North Somerset,E06000024,2,48,52,27,7,0,4,3,22,41,75,36,12,4,333
North Tyneside,E08000022,3,74,64,6,4,1,1,15,44,48,65,71,30,5,431
North Warwickshire,E07000218,3,46,16,12,2,2,1,2,11,21,19,9,5,1,150
North West Leicestershire,E07000134,2,43,11,7,2,0,0,3,21,32,47,27,15,1,211
Northampton,E06000061,1,117,94,34,10,3,4,6,19,51,94,65,21,12,531
Northumberland,E06000057,3,137,90,26,4,0,8,50,59,71,131,93,22,6,700
Norwich,E07000148,0,7,8,5,1,0,0,0,6,17,67,79,9,1,200
Nottingham,E06000018,6,131,61,18,3,1,2,32,85,67,85,90,44,11,636
Nuneaton and Bedworth,E07000219,8,66,40,21,12,0,1,0,18,30,43,24,10,1,274
Oadby and Wigston,E07000135,0,35,13,12,0,0,0,3,10,33,31,17,7,0,161
Oldham,E08000004,13,165,42,12,5,7,2,38,130,70,70,51,17,6,628
Oxford,E07000178,1,52,10,3,1,0,0,1,2,12,62,26,5,0,175
Pendle,E07000122,3,38,24,7,2,0,3,17,55,29,47,29,5,1,260
Peterborough,E06000031,0,41,36,11,5,4,3,4,12,34,79,71,14,2,316
Plymouth,E06000026,1,44,30,3,0,0,4,8,17,13,34,47,5,1,207
Poole,E06000029,0,52,23,4,0,1,0,10,34,16,128,115,11,1,395
Portsmouth,E06000044,11,66,16,3,1,1,3,3,17,34,111,60,24,5,355
Preston,E07000123,2,53,48,16,3,1,4,22,42,38,30,30,16,6,311
Purbeck,E07000051,0,5,5,1,0,0,0,2,9,2,16,23,4,1,68
Reading,E06000038,0,105,39,8,0,1,1,9,10,9,46,30,3,6,267
Redbridge,E09000026,24,225,44,4,1,0,7,29,46,84,246,80,19,7,816
Redcar and Cleveland,E06000003,0,62,44,19,1,0,1,24,42,28,33,52,8,1,315
Redditch,E07000236,1,33,16,5,1,0,0,0,12,28,35,29,11,1,172
Reigate and Banstead,E07000211,6,121,34,9,0,0,1,3,16,29,84,85,6,5,399
Ribble Valley,E07000124,0,14,7,4,0,0,1,14,20,15,46,18,4,2,145
Richmond upon Thames,E09000027,8,106,20,3,3,1,0,1,10,22,74,30,15,2,295
Richmondshire,E07000166,1,17,19,7,1,0,0,0,4,8,13,7,4,1,82
Rochdale,E08000005,10,130,41,24,5,7,4,39,133,70,54,46,24,13,600
Rochford,E07000075,3,37,30,9,6,1,1,1,7,29,77,45,20,2,268
Rossendale,E07000125,0,24,23,2,1,0,1,12,22,14,34,22,11,0,166
Rother,E07000064,2,19,22,6,2,1,0,0,12,55,170,54,5,1,349
Rotherham,E08000018,2,171,79,45,19,2,2,25,106,119,92,53,25,5,745
Rugby,E07000220,2,29,32,3,0,0,0,3,10,18,51,16,7,2,173
Runnymede,E07000212,2,46,13,9,1,0,0,0,8,8,37,25,6,0,155
Rushcliffe,E07000176,3,47,19,7,1,0,0,7,19,14,42,34,8,2,203
Rushmoor,E07000092,2,45,26,2,1,0,0,0,2,11,66,53,11,0,219
Rutland,E06000017,0,7,11,2,1,0,0,0,9,2,11,18,4,0,65
Ryedale,E07000167,1,17,8,5,0,0,0,0,7,6,15,5,2,1,67
Salford,E08000006,19,221,55,14,4,1,18,35,83,63,45,49,9,3,619
Sandwell,E08000028,17,219,76,25,4,4,7,23,88,96,184,176,40,4,963
Scarborough,E07000168,0,47,25,3,2,0,1,8,31,30,25,13,2,1,188
Sedgemoor,E07000188,2,32,22,6,0,1,0,1,16,11,39,36,8,3,177
Sefton,E08000014,9,187,50,16,6,5,10,63,104,47,122,121,36,5,781
Selby,E07000169,1,20,17,3,1,0,0,1,16,15,24,17,4,0,119
Sevenoaks,E07000111,2,65,18,5,8,2,1,1,10,28,83,39,12,1,275
Sheffield,E08000019,4,308,193,34,10,5,14,37,152,103,172,116,42,14,1204
Shepway,E07000112,0,41,36,39,13,4,1,1,10,56,108,37,15,3,364
Shropshire,E06000051,11,86,91,35,7,0,3,12,39,39,90,102,22,2,539
Slough,E06000039,12,70,16,3,1,1,1,3,21,25,88,56,15,1,313
Solihull,E08000029,2,190,54,3,2,1,3,12,40,46,85,91,18,3,550
South Bucks,E07000246,8,24,13,1,1,0,1,5,8,13,52,41,11,2,180
South Cambridgeshire,E07000012,2,31,14,5,0,0,1,0,2,7,44,57,13,6,182
South Derbyshire,E07000039,4,60,29,7,2,1,2,7,25,28,46,18,8,1,238
South Gloucestershire,E06000025,4,96,50,11,2,1,0,3,33,52,56,66,15,1,390
South Hams,E07000044,1,7,3,0,0,0,0,2,3,3,19,6,1,0,45
South Holland,E07000140,1,22,20,9,1,1,0,5,23,21,29,31,11,3,177
South Kesteven,E07000141,0,32,19,13,1,1,1,4,18,42,72,52,16,0,271
South Lakeland,E07000031,8,99,26,8,0,0,0,13,18,28,32,25,7,0,264
South Norfolk,E07000149,0,24,19,4,2,2,1,1,5,27,68,55,9,0,217
South Northamptonshire,E07000155,1,32,14,6,2,0,0,2,11,21,21,16,2,1,129
South Oxfordshire,E07000179,3,59,41,4,1,1,1,4,3,15,48,21,3,0,204
South Ribble,E07000126,1,43,26,17,2,0,2,9,17,36,24,40,6,2,225
South Somerset,E07000189,1,29,17,7,1,0,0,0,12,35,33,19,7,1,162
South Staffordshire,E07000196,2,65,15,7,3,0,1,3,20,26,54,41,12,2,251
South Tyneside,E08000023,3,77,66,7,3,0,11,27,24,82,85,39,21,3,448
Southampton,E06000045,6,87,44,11,2,0,0,5,4,12,89,66,11,5,342
Southend-on-Sea,E06000033,5,103,49,22,12,3,0,1,11,56,219,90,31,5,607
Southwark,E09000028,28,165,37,5,2,3,0,0,3,12,92,45,18,9,419
Spelthorne,E07000213,1,55,20,4,6,0,1,1,8,11,56,35,4,2,204
St Albans,E07000240,0,91,20,6,10,4,2,3,14,23,87,48,10,2,320
St Edmundsbury,E07000204,2,24,23,3,2,0,1,1,2,9,34,11,4,0,116
St. Helens,E08000013,0,126,53,5,2,3,1,33,46,17,82,99,32,4,503
Stafford,E07000197,0,58,39,11,1,0,0,12,33,63,72,25,5,1,320
Staffordshire Moorlands,E07000198,3,31,24,10,6,0,0,4,28,65,55,31,7,4,268
Stevenage,E07000243,0,39,11,3,0,1,0,1,3,14,40,27,12,2,153
Stockport,E08000007,10,197,100,26,9,7,4,23,49,46,77,66,32,8,654
Stockton-on-Tees,E06000004,3,50,59,25,4,2,3,25,63,83,75,32,9,5,438
Stoke-on-Trent,E06000021,4,78,76,19,7,3,1,11,91,164,143,81,32,6,716
Stratford-on-Avon,E07000221,3,98,50,4,1,0,0,11,8,24,46,19,5,1,270
Stroud,E07000082,3,62,18,2,0,0,0,0,19,29,22,13,5,0,173
Suffolk Coastal,E07000205,0,55,23,9,0,0,0,1,4,27,64,50,15,5,253
Sunderland,E08000024,8,227,73,7,2,1,8,75,105,69,90,89,19,2,775
Surrey Heath,E07000214,2,39,33,7,0,0,0,0,3,6,89,41,8,0,228
Sutton,E09000029,8,123,28,9,1,0,0,0,11,41,135,76,21,2,455
Swale,E07000113,2,62,34,13,3,0,1,7,41,58,114,51,13,2,401
Swindon,E06000030,1,93,49,11,1,3,5,3,11,17,67,46,5,5,317
Tameside,E08000008,10,149,69,44,13,13,34,54,81,41,62,40,24,7,641
Tamworth,E07000199,1,42,8,9,4,2,3,3,25,15,41,33,6,1,193
Tandridge,E07000215,2,47,30,9,0,0,0,0,1,11,54,51,5,0,210
Taunton Deane,E07000190,0,20,9,3,0,1,0,0,5,8,69,58,6,2,181
Teignbridge,E07000045,1,22,5,2,0,0,0,2,9,7,31,22,3,1,105
Telford and Wrekin,E06000020,2,48,32,5,1,0,0,5,12,24,52,43,16,2,242
Tendring,E07000076,5,78,49,18,5,0,0,8,23,16,191,149,32,2,576
Test Valley,E07000093,1,53,44,7,2,0,2,7,2,11,35,50,7,0,221
Tewkesbury,E07000083,1,76,18,2,0,0,0,0,8,19,40,10,2,0,176
Thanet,E07000114,0,81,37,11,12,4,2,1,22,60,136,66,10,6,448
Three Rivers,E07000102,0,53,26,3,0,0,0,5,11,24,71,30,5,1,229
Thurrock,E06000034,0,101,23,14,3,0,0,10,51,30,144,56,13,2,447
Tonbridge and Malling,E07000115,4,28,27,11,2,0,0,0,2,35,94,32,7,2,244
Torbay,E06000027,1,36,17,2,0,0,0,13,16,9,27,20,7,1,149
Torridge,E07000046,0,14,4,0,0,0,0,0,4,7,8,4,3,0,44
Tower Hamlets,E09000030,24,139,17,5,0,0,3,8,20,45,165,59,12,3,500
Trafford,E08000009,10,115,58,24,6,3,3,20,66,39,44,53,22,8,471
Tunbridge Wells,E07000116,0,30,21,21,3,3,0,1,3,34,66,21,2,4,209
Uttlesford,E07000077,0,37,17,4,0,0,1,0,2,3,32,26,5,2,129
Vale of White Horse,E07000180,0,88,24,5,0,0,1,0,1,14,35,16,3,0,187
Wakefield,E08000036,4,197,83,36,8,2,6,22,116,123,90,75,35,5,802
Walsall,E08000030,20,230,84,24,2,4,0,14,86,64,148,165,31,8,880
Waltham Forest,E09000031,11,180,35,9,2,0,3,4,16,60,163,49,9,2,543
Wandsworth,E09000032,29,135,28,1,3,1,0,7,10,25,127,68,10,3,447
Warrington,E06000007,0,135,62,12,1,2,4,37,54,39,93,49,19,7,514
Warwick,E07000222,1,60,25,10,3,0,0,0,7,30,60,35,7,4,242
Watford,E07000103,0,87,14,7,5,0,2,8,8,13,58,28,5,2,237
Waveney,E07000206,0,67,42,8,0,0,0,3,14,7,49,46,10,3,249
Waverley,E07000216,3,70,47,7,3,0,0,0,9,20,80,53,8,0,300
Wealden,E07000065,2,59,32,9,6,4,0,4,6,32,146,58,13,3,374
Wellingborough,E07000156,1,30,23,5,3,1,1,1,9,14,30,26,5,2,151
Welwyn Hatfield,E07000241,6,54,33,10,2,0,0,0,4,7,82,41,6,1,246
West Berkshire,E06000037,5,90,26,1,1,1,0,4,4,16,39,24,11,1,223
West Devon,E07000047,0,7,4,0,1,1,1,0,2,5,6,2,0,1,30
West Dorset,E07000052,2,36,10,0,0,0,0,0,7,2,43,30,8,0,138
West Lancashire,E07000127,3,74,30,6,3,1,5,19,36,23,23,29,9,0,261
West Lindsey,E07000142,0,12,8,1,0,0,0,4,17,41,49,17,11,1,161
West Oxfordshire,E07000181,1,72,31,5,1,0,0,1,3,9,30,23,2,1,179
West Somerset,E07000191,1,5,4,1,0,1,0,0,1,4,6,9,0,0,32
Westminster,E09000033,20,137,14,3,0,0,0,7,5,18,91,49,13,1,358
Weymouth and Portland,E07000053,2,26,1,1,0,0,0,0,2,2,18,13,3,0,68
Wigan,E08000010,3,192,104,24,9,1,0,79,181,102,122,59,24,7,907
Wiltshire,E06000054,11,185,118,28,2,1,3,5,42,51,167,130,29,1,773
Winchester,E07000094,3,52,43,3,1,0,0,4,11,8,35,27,3,0,190
Windsor and Maidenhead,E06000040,8,86,24,2,2,0,2,4,11,23,88,46,14,3,313
Wirral,E08000015,12,261,90,34,11,4,7,48,62,33,177,132,23,2,896
Woking,E07000217,0,36,24,8,2,0,1,2,8,17,42,36,8,2,186
Wokingham,E06000041,4,85,33,7,0,2,1,8,14,29,49,31,4,0,267
Wolverhampton,E08000031,35,176,48,16,4,1,2,22,38,52,177,130,32,2,735
Worcester,E07000237,0,38,13,4,1,0,0,2,9,8,70,23,7,0,175
Worthing,E07000229,1,38,27,3,2,0,2,3,7,3,55,51,14,2,208
Wychavon,E07000238,2,73,17,8,3,0,2,2,13,22,56,39,8,3,248
Wycombe,E07000007,5,55,27,4,4,0,0,7,7,22,104,67,23,1,326
Wyre,E07000128,0,40,48,17,2,1,0,25,58,35,75,32,6,1,340
Wyre Forest,E07000239,1,71,31,4,1,0,1,8,9,30,42,33,15,3,249
York,E06000014,3,65,74,9,4,1,1,5,13,25,79,42,12,4,337
